index,area,date,href,name,price
63,"['Dadar West, Mumbai']",['28  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/black-casio-scientific-calculator-ID1bXAGJ.html#59915fb10a'],63,['\n\t\t\t\t\t\t\t\t725\t\t\t\t\t\t\t\t']
64,"['Santacruz West, Mumbai']",['28  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/black-casio-scientific-calculator-ID1bVK7B.html#59915fb10a'],64,['\n\t\t\t\t\t\t\t\t600\t\t\t\t\t\t\t\t']
65,"['Kandivali, Mumbai']",['27  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-100ms-scientific-calculator-ID1bVa5F.html#59915fb10a'],65,['\n\t\t\t\t\t\t\t\t400\t\t\t\t\t\t\t\t']
66,"['Mumbai Central, Mumbai']",['27  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-fx-991es-scientific-calculator-in-excellent-ID19WZo7.html#59915fb10a'],66,['\n\t\t\t\t\t\t\t\t450\t\t\t\t\t\t\t\t']
67,"['Malad West, Mumbai']",['25  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/bistec-bs-82ms-scientific-calculator-hardly-ID1bTrXH.html#59915fb10a'],67,['\n\t\t\t\t\t\t\t\t385\t\t\t\t\t\t\t\t']
68,"['Malad West, Mumbai']",['25  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/bistec-bs-82ms-scientific-calculator-hardly-ID1bTs49.html#59915fb10a'],68,['\n\t\t\t\t\t\t\t\t385\t\t\t\t\t\t\t\t']
69,"['Andheri Lokhandwala Complex, Mumbai']",['19  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/black-casio-scientific-calculator-ID1bS9a5.html#59915fb10a'],69,['\n\t\t\t\t\t\t\t\t400\t\t\t\t\t\t\t\t']
70,"['Kandivali West, Mumbai']",['18  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/scientific-calculator-ID1aIqx5.html#59915fb10a'],70,['\n\t\t\t\t\t\t\t\t570\t\t\t\t\t\t\t\t']
71,"['Borivali West, Mumbai']",['17  May\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/4-vintage-casio-scientific-calculators-in-good-condition-ID1bQ1hh.html#59915fb10a'],71,['\n\t\t\t\t\t\t\t\t4000\t\t\t\t\t\t\t\t']
72,"['Goregaon, Mumbai']",['18  Apr\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/scientific-calculator-fx-82ms-for-300-only-ID1bhuxn.html#59915fb10a'],72,[]
73,"['Chuna Bhati, Mumbai']",['16  Apr\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/fx-82ms-scientific-calculator-price-is-negotiable-ID1b835F.html#59915fb10a'],73,['\n\t\t\t\t\t\t\t\t450\t\t\t\t\t\t\t\t']
74,"['Vikhroli West, Mumbai']",['14  Apr\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/black-casio-scientific-calculator-991ms-ID1b61Qt.html#59915fb10a'],74,['\n\t\t\t\t\t\t\t\t450\t\t\t\t\t\t\t\t']
75,"['Kandivali, Mumbai']",['11  Apr\t\t\t\t\t\t    \t\t\t\t\t\t'],['https://www.olx.in/item/casio-scientific-calculator-model-fx-100ms-good-ID1b2y4w.html#59915fb10a'],75,['\n\t\t\t\t\t\t\t\t500\t\t\t\t\t\t\t\t']
